nid,source,id,vis,data_binding
1,datavizproject,Skærmbillede-2016-02-02-kl.-16.06.19.png,number,semantics (combined with color) to category
2,datavizproject,Skærmbillede-2016-02-02-kl.-16.11.19.png,number,semantics (combined with color) to category
3,datavizproject,Skærmbillede-2016-02-02-kl.-16.20.27.png,number,semantics (combined with color) to category
4,datavizproject,Skærmbillede-2016-02-02-kl.-16.34.00.png,number,semantics (combined with color) to category
5,datavizproject,Skærmbillede-2016-02-02-kl.-16.35.03.png,number,semantics (combined with color) to category
6,datavizproject,Skærmbillede-2016-02-02-kl.-16.36.08.png,number,semantics (combined with color) to category
7,datavizproject,Skærmbillede-2016-02-03-kl.-13.24.54.png,number,semantics (combined with color) to category
8,datavizproject,Skærmbillede-2016-02-04-kl.-10.39.19.png,number,semantics (combined with color) to category
9,datavizproject,Skærmbillede-2016-02-04-kl.-11.35.51.png,number,semantics (combined with color) to category
10,datavizproject,5083416128_fece575c4c_o-scaled.jpg,bar chart,height to quantity
11,datavizproject,Screen-Shot-2016-05-19-at-16.34.04.png,bar chart,height to quantity
12,datavizproject,Screen-Shot-2016-05-19-at-16.42.29.png,bar chart,height to quantity
13,datavizproject,Skærmbillede-2016-02-10-kl.-11.15.15.png,bar chart,height to quantity
14,datavizproject,Skærmbillede-2017-09-04-kl.-15.07.39.png,bar chart,height to quantity
15,datavizproject,Skærmbillede-2017-10-06-kl.-12.40.01.png,bar chart,height to quantity
16,datavizproject,fc85c722282311.56045d0ab6940.jpg,block chart,height filled with color to proportion
17,datavizproject,page-1.jpg,block chart,height filled with color to proportion
18,datavizproject,Skærmbillede-2017-02-23-kl.-14.33.47.png,block chart,height filled with color to proportion
19,datavizproject,Skærmbillede-2017-02-23-kl.-16.25.37.png,block chart,height filled with color to proportion
20,datavizproject,Skærmbillede-2017-02-23-kl.-16.36.42.png,block chart,height filled with color to proportion
21,datavizproject,Skærmbillede-2017-02-23-kl.-16.38.30.png,block chart,height filled with color to proportion
22,datavizproject,Skærmbillede-2017-09-04-kl.-15.53.21.png,bar chart,height filled with color to proportion
23,datavizproject,Skærmbillede-2017-09-04-kl.-16.14.24.png,bar chart,height filled with color to proportion
24,datavizproject,5_aotw_1-300x300.jpg,block chart,height filled with color to proportion
25,datavizproject,9635744385_7e992fec0f_b.jpg,block chart,height filled with color to proportion
26,datavizproject,open-uri20140702-32143-he9e6d.jpeg,block chart,height filled with color to proportion
27,datavizproject,Screen-Shot-2015-06-16-at-10.21.30-AM.png,block chart,height filled with color to proportion
28,datavizproject,Screen-Shot-2015-11-02-at-17.14.32.png,block chart,height filled with color to proportion
29,datavizproject,Skærmbillede-2016-01-21-kl.-16.09.24.png,block chart,height filled with color to proportion
30,datavizproject,Skærmbillede-2016-01-23-kl.-17.42.34.png,block chart,height filled with color to proportion
